n,events,non_events,responders,prevalence,p_base,p_event,p_fisher,or,ci.low,ci.high
60,1,59,11,0.01,0.2,0,1,0,0,173.259668508287
60,5,55,12,0.05,0.2,0,0.572470041263299,0,0,4.48251286518625
60,6,54,12,0.1,0.2,0,0.333053264370746,0,0,3.44852534071982
60,21,39,8,0.3,0.2,0,0.0416129580934451,0,0,0.986140327384816
60,28,32,7,0.5,0.2,0,0.0117809799990119,0,0,0.70328949874479
80,1,79,32,0.01,0.4,0.4,1,0,0,58.4474885844763
80,8,72,33,0.05,0.4,0.4,0.711283813430145,1.47527829306219,0.253200970482455,8.60441441142163
80,10,70,32,0.1,0.4,0.4,0.0799879149025509,4.12166035869845,0.84861613271006,26.8846185898594
80,19,61,24,0.3,0.4,0.4,1,1.10120166055907,0.295211769430782,3.73590218858126
80,39,41,40,0.5,0.4,0.4,0.179251085631832,2.01117462489419,0.761803718482307,5.44141193261783
80,0,80,,0.01,0.4,0.2,1,,,
80,2,78,29,0.05,0.4,0.2,0.531962025316456,0,0,9.39365655488946
80,9,71,30,0.1,0.4,0.2,1,0.816861974027479,0.12207175331659,4.2144818044126
80,20,60,29,0.3,0.4,0.2,0.288390090039266,0.504147625907657,0.126254740645678,1.71343534252368
80,37,43,22,0.5,0.4,0.2,0.0120672430497704,0.243258557602874,0.0616144905737921,0.806627859597452
80,0,80,,0.01,0.4,0.1,1,,,
80,3,77,37,0.05,0.4,0.1,0.244778481012658,0,0,2.78045773912769
80,10,70,29,0.1,0.4,0.1,0.0114066699102683,0,0,0.699167631715741
80,17,63,24,0.3,0.4,0.1,0.0162062660169796,0.110844946470805,0.00249054026924064,0.806559444193222
80,41,39,17,0.5,0.4,0.1,0.00230750745772122,0.14443230932755,0.0241379079444482,0.590808759048763
80,2,78,27,0.01,0.4,0.01,0.547151898734177,0,0,10.4995562886989
80,5,75,35,0.05,0.4,0.01,0.06432570593963,0,0,1.34997873813655
80,9,71,28,0.1,0.4,0.01,0.0233619398742193,0,0,0.859872743420306
80,26,54,20,0.3,0.4,0.01,0.00204051401871021,0.0754340249203905,0.00171129090805494,0.537513249861884
80,44,36,15,0.5,0.4,0.01,8.39061451439816e-07,0,0,0.153430527527852
80,0,80,,0.01,0.4,0,1,,,
80,2,78,28,0.05,0.4,0,0.539240506329114,0,0,9.92659970436091
80,9,71,25,0.1,0.4,0,0.050797647921255,0,0,1.03306758507132
80,24,56,21,0.3,0.4,0,0.000182855764685007,0,0,0.320597156671548
80,41,39,10,0.5,0.4,0,0.000386121131156629,0,0,0.352332128571686
80,0,80,,0.01,0.2,0.4,1,,,
80,7,73,19,0.05,0.2,0.4,0.667901715116905,1.31284092622956,0.115193216998795,8.95113571610282
80,12,68,18,0.1,0.2,0.4,0.02279761651718,4.55083802399652,1.02695144318032,20.5060772477787
80,26,54,24,0.3,0.2,0.4,0.00959825192678038,3.83388889739235,1.25680957594639,12.1594721779013
80,38,42,25,0.5,0.2,0.4,0.000720560474201336,5.85568256662794,1.85982964934442,21.0975212298369
80,1,79,7,0.01,0.2,0.2,1,0,0,404.152249134943
80,5,75,18,0.05,0.2,0.2,0.0724352263326281,5.82122296425357,0.610650966381535,75.4074991247791
80,8,72,13,0.1,0.2,0.2,1,0.717031253596184,0.0146485355759648,6.49445155249542
80,29,51,20,0.3,0.2,0.2,0.423307245647923,1.62602966194313,0.505651502398083,5.1574515676352
80,32,48,17,0.5,0.2,0.2,0.581330255067776,1.43763540784504,0.419891518304467,4.86170647429377
80,2,78,17,0.01,0.2,0.1,1,0,0,20.0587938639372
80,5,75,17,0.05,0.2,0.1,1,0.922793745710836,0.0176312887924431,10.2206690279232
80,8,72,16,0.1,0.2,0.1,0.346740527351079,0,0,2.31666361411796
80,28,52,12,0.3,0.2,0.1,0.526005704234367,0.57707712834536,0.0919802383661516,2.60245744929961
